# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    2.702702703    1.016081547    1.015984249    1.008774179
    2.717717718    1.016146862    1.016049489    1.008782234
    2.732732733    1.016213103    1.016115654    1.008790352
    2.747747748    1.016280287    1.016182762    1.008798532
    2.762762763    1.016348431    1.016250830    1.008806775
    2.777777778    1.016417553    1.016319874    1.008815082
    2.792792793    1.016487671    1.016389915    1.008823452
    2.807807808    1.016558804    1.016460969    1.008831887
    2.822822823    1.016630970    1.016533056    1.008840386
    2.837837838    1.016704190    1.016606197    1.008848950
    2.852852853    1.016778484    1.016680410    1.008857579
    2.867867868    1.016853872    1.016755717    1.008866274
    2.882882883    1.016930376    1.016832139    1.008875034
    2.897897898    1.017008017    1.016909698    1.008883862
    2.912912913    1.017086818    1.016988416    1.008892756
    2.927927928    1.017166802    1.017068317    1.008901718
    2.942942943    1.017247993    1.017149423    1.008910747
    2.957957958    1.017330415    1.017231760    1.008919844
    2.972972973    1.017414093    1.017315353    1.008929010
    2.987987988    1.017499053    1.017400226    1.008938245
    3.003003003    1.017585321    1.017486407    1.008947550
    3.018018018    1.017672925    1.017573924    1.008956924
    3.033033033    1.017761893    1.017662803    1.008966369
    3.048048048    1.017852253    1.017753074    1.008975885
    3.063063063    1.017944035    1.017844767    1.008985472
    3.078078078    1.018037270    1.017937911    1.008995130
    3.093093093    1.018131990    1.018032540    1.009004861
    3.108108108    1.018228226    1.018128684    1.009014665
    3.123123123    1.018326012    1.018226377    1.009024542
    3.138138138    1.018425383    1.018325655    1.009034493
    3.153153153    1.018526374    1.018426552    1.009044518
    3.168168168    1.018629022    1.018529105    1.009054617
    3.183183183    1.018733364    1.018633351    1.009064792
    3.198198198    1.018839439    1.018739330    1.009075043
    3.213213213    1.018947288    1.018847081    1.009085369
    3.228228228    1.019056951    1.018956646    1.009095773
    3.243243243    1.019168472    1.019068068    1.009106254
    3.258258258    1.019281895    1.019181391    1.009116813
    3.273273273    1.019397264    1.019296659    1.009127451
    3.288288288    1.019514628    1.019413922    1.009138167
    3.303303303    1.019634034    1.019533226    1.009148963
    3.318318318    1.019755533    1.019654622    1.009159840
    3.333333333    1.019879177    1.019778162    1.009170797
    3.348348348    1.020005020    1.019903899    1.009181835
    3.363363363    1.020133116    1.020031890    1.009192956
    3.378378378    1.020263524    1.020162191    1.009204159
    3.393393393    1.020396303    1.020294862    1.009215445
    3.408408408    1.020531513    1.020429964    1.009226815
    3.423423423    1.020669220    1.020567561    1.009238270
    3.438438438    1.020809488    1.020707718    1.009249810
    3.453453453    1.020952387    1.020850505    1.009261435
    3.468468468    1.021097986    1.020995992    1.009273147
    3.483483483    1.021246360    1.021144252    1.009284946
    3.498498498    1.021397584    1.021295361    1.009296832
    3.513513514    1.021551737    1.021449399    1.009308808
    3.528528529    1.021708901    1.021606447    1.009320872
    3.543543544    1.021869162    1.021766589    1.009333026
    3.558558559    1.022032607    1.021929916    1.009345271
    3.573573574    1.022199329    1.022096517    1.009357607
    3.588588589    1.022369422    1.022266489    1.009370035
    3.603603604    1.022542985    1.022439930    1.009382556
    3.618618619    1.022720122    1.022616943    1.009395171
    3.633633634    1.022900940    1.022797636    1.009407880
    3.648648649    1.023085550    1.022982121    1.009420684
    3.663663664    1.023274069    1.023170512    1.009433584
    3.678678679    1.023466617    1.023362932    1.009446580
    3.693693694    1.023663321    1.023559505    1.009459674
    3.708708709    1.023864311    1.023760365    1.009472867
    3.723723724    1.024069726    1.023965646    1.009486159
    3.738738739    1.024279707    1.024175494    1.009499551
    3.753753754    1.024494404    1.024390056    1.009513043
    3.768768769    1.024713974    1.024609488    1.009526638
    3.783783784    1.024938578    1.024833954    1.009540335
    3.798798799    1.025168387    1.025063623    1.009554136
    3.813813814    1.025403579    1.025298674    1.009568042
    3.828828829    1.025644340    1.025539292    1.009582053
    3.843843844    1.025890866    1.025785672    1.009596170
    3.858858859    1.026143359    1.026038020    1.009610395
    3.873873874    1.026402036    1.026296548    1.009624728
    3.888888889    1.026667119    1.026561481    1.009639171
